enc,objective,ssl_mode,is_stopgrad,is_ema,architecture_exact,architecture,family,patch_size,n_parameters,z_dim,z_layer,epochs,batch_size,optimizer,learning_rate,weight_decay,scheduler,pretraining_data,img_size,is_aug_invariant,year,is_official,is_industry,n_classes,pred_dim,projection_hid_width,projection_hid_depth,projection1_arch,projection2_arch,projection_same,projection_nparameters,n_negatives,finetuning_data,other,nviews,n_augmentations,is_aug_autoaug,is_aug_blur,is_aug_color,is_aug_crop,is_aug_erasing,is_aug_flip,is_aug_gray,is_aug_jigsaw,is_aug_masking,is_aug_normalize,is_aug_photometric,is_aug_rotate,is_aug_solarize,is_aug_anygeometric,is_aug_anycolor
ibot_vitb16_extractb,ibot,clustering,1,1,vitb16 cls+avg,vitb,vit,16,90000000.0,1024,cls+avg,400.0,1024,adamw,0.0001,0.01,cosine,ImageNet-1K,128,1,2021,1,1,8200.0,256.0,2048.0,3.0,mlp,mlp,1.0,10000000.0,8192.0,prediction shape is block,,2,8,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1
ibot_vitl16,ibot,clustering,1,1,vitl16 cls,vitl,vit,16,300000000.0,1024,cls,200.0,1024,adamw,0.0001,0.01,cosine,ImageNet-1K,128,1,2021,1,1,8200.0,256.0,2048.0,3.0,mlp,mlp,1.0,10000000.0,8192.0,,,2,8,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1
ibot_vits16,ibot,clustering,1,1,vits16 cls,vits,vit,16,20000000.0,256,cls,800.0,1024,adamw,0.0001,0.01,cosine,ImageNet-1K,128,1,2021,1,1,8200.0,256.0,2048.0,3.0,mlp,mlp,1.0,10000000.0,8192.0,,,2,8,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1
ibot_vits16_extracts,ibot,clustering,1,1,vits16 4xcls,vits,vit,16,90000000.0,1024,4xcls,800.0,1024,adamw,0.0001,0.01,cosine,ImageNet-1K,128,1,2021,1,1,8200.0,256.0,2048.0,3.0,mlp,mlp,1.0,10000000.0,8192.0,,,2,8,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1
infomin_rn50_200ep,moco,contrastive,1,1,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,200.0,256,sgd,0.01,0.0001,cosine,ImageNet-1K,128,1,2020,1,0,,64.0,2048.0,1.0,mlp,mlp,1.0,0.0,65536.0,,,2,8,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1
infomin_rn50_800ep,moco,contrastive,1,1,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,800.0,256,sgd,0.01,0.0001,cosine,ImageNet-1K,128,1,2020,1,0,,64.0,2048.0,1.0,mlp,mlp,1.0,0.0,65536.0,,,2,8,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1
jigsaw_rn50,jigsaw,transform,0,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,200.0,256,sgd,0.1,0.0001,multistep,ImageNet-1K,128,1,2016,0,0,2000.0,,9000.0,1.0,mlp,,,20000000.0,,,,1,4,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1
jigsaw_rn50_in22k,jigsaw,transform,0,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,200.0,256,sgd,0.1,0.0001,multistep,ImageNet-22K,128,1,2016,0,0,2000.0,,9000.0,1.0,mlp,,,20000000.0,,,,1,4,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1
lossyless_vitb32_b001,clip+eb,contrastive,0,0,vitb32 pred,vitb,vit,32,90000000.0,512,pred,0.0,16384,adamw,0.0001,0.1,cosine,CLIP,128,1,2021,1,0,,512.0,,,identity,identity,1.0,0.0,65536.0,mscoco,,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
lossyless_vitb32_b005,clip+eb,contrastive,0,0,vitb32 pred,vitb,vit,32,90000000.0,512,pred,0.0,16384,adamw,0.0001,0.1,cosine,CLIP,128,1,2021,1,0,,512.0,,,identity,identity,1.0,0.0,65536.0,mscoco,,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
lossyless_vitb32_b01,clip+eb,contrastive,0,0,vitb32 pred,vitb,vit,32,90000000.0,512,pred,0.0,16384,adamw,0.0001,0.1,cosine,CLIP,128,1,2021,1,0,,512.0,,,identity,identity,1.0,0.0,65536.0,mscoco,,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
mae_vitb16,mae,generative,0,0,vitb16 cls,vitb,vit,16,90000000.0,512,cls,1600.0,2048,adamw,0.0001,0.01,cosine,ImageNet-1K,128,0,2021,1,1,,,,,,,,,,,,1,3,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
mae_vith14,mae,generative,0,0,vith14 cls,vith,vit,8,630000000.0,1024,cls,1600.0,2048,adamw,0.0001,0.01,cosine,ImageNet-1K,128,0,2021,1,1,,,,,,,,,,,,1,3,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
mae_vitl16,mae,generative,0,0,vitl16 cls,vitl,vit,16,300000000.0,1024,cls,1600.0,2048,adamw,0.0001,0.01,cosine,ImageNet-1K,128,0,2021,1,1,,,,,,,,,,,,1,3,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
mocov1_rn50_ep200,moco,contrastive,1,1,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,200.0,256,sgd,0.01,0.0001,multistep,ImageNet-1K,128,1,2019,1,1,,64.0,,,linear,linear,1.0,0.0,65536.0,,,2,5,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1
mocov2_rn50_ep200,moco,contrastive,1,1,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,200.0,256,sgd,0.01,0.0001,cosine,ImageNet-1K,128,1,2020,1,1,,64.0,2048.0,1.0,mlp,mlp,1.0,0.0,65536.0,,,2,6,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
mocov2_rn50_ep800,moco,contrastive,1,1,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,800.0,256,sgd,0.01,0.0001,cosine,ImageNet-1K,128,1,2020,1,1,,64.0,2048.0,1.0,mlp,mlp,1.0,0.0,65536.0,,,2,6,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
mocov2_rn50_vissl,moco,contrastive,1,1,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,200.0,256,sgd,0.01,0.0001,multistep,ImageNet-1K,128,1,2020,0,1,,64.0,2048.0,1.0,mlp,mlp,1.0,0.0,65536.0,,,2,6,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
