enc,usability,enc_gen,probe_gen,approx,agg_risk
barlow_rn50,0.0,14.841999999999999,34.23089506615084,6.00850169556288,49.092
barlow_rn50_ep300,0.0,15.30400000000001,35.654895066150836,6.00850169556288,50.978
beit_vitb16_pt22k,0.0,23.72399999999999,65.86558026460334,3.77640859085192,89.666
beit_vitl16_pt22k,0.4075719221155598,23.198000000000008,61.43020015602362,2.04422792186081,87.08
beitv2_vitb16_pt1k,3.782776902134971,9.595999999999997,18.26681450701311,3.77640859085192,35.422
beitv2_vitb16_pt1k_ep300,2.9182786454601897,9.346000000000004,15.37731276368789,3.77640859085192,31.418000000000003
beitv2_vitl16_pt1k,12.628361274299099,16.56199999999999,32.01341080384009,2.04422792186081,63.24799999999999
byol_rn50_augcrop,0.0,19.24199999999999,48.59689506615084,6.00850169556288,67.85799999999999
byol_rn50_augcropblur,0.0,18.573999999999998,45.07889506615084,6.00850169556288,63.672
byol_rn50_augcropcolor,0.0,15.729999999999997,36.750895066150846,6.00850169556288,52.5
byol_rn50_augnocolor,0.0,18.174000000000014,44.846895066150836,6.00850169556288,63.040000000000006
byol_rn50_augnogray,0.0,15.478000000000009,36.99889506615083,6.00850169556288,52.495999999999995
byol_rn50_bs1024,0.0,14.678000000000004,34.28689506615084,6.00850169556288,48.984
byol_rn50_bs128,0.0,14.95200000000002,36.75489506615083,6.00850169556288,51.726000000000006
byol_rn50_bs2048,0.0,14.636000000000003,34.39289506615084,6.00850169556288,49.048
byol_rn50_bs256,0.0,14.872,34.998895066150844,6.00850169556288,49.89
byol_rn50_bs4096,0.0,13.96800000000001,31.55889506615083,6.00850169556288,45.546
byol_rn50_bs512,0.0,14.450000000000003,34.754895066150844,6.00850169556288,49.224000000000004
byol_rn50_bs64,10.932798395185547,16.24800000000001,28.114699909251563,6.00850169556288,61.304
clip_rn101,0.0,11.89800000000001,29.70689506615083,4.10119246628775,41.624
clip_rn50,0.0,12.859999999999985,33.53089506615085,6.00850169556288,46.40999999999999
clip_rn50x4,,10.25200000000001,27.16489506615083,,37.436
clip_rn50x64,,8.227999999999998,19.90889506615084,,28.156
clip_vitb16,0.0,9.356000000000005,19.903587237904198,3.77640859085192,32.794000000000004
clip_vitb32,1.25774147840347,11.197999999999993,23.38651080224802,3.1857477193485098,39.02799999999999
clip_vitl14,0.0,7.510000000000002,16.31529257614113,2.04422792186081,25.532
clip_vitl14_px336,0.0,7.577999999999989,17.17889506615084,2.04422792186081,24.77599999999999
clusterfit_rn50,0.0,21.33,56.15206740857492,6.00850169556288,77.576
dc2_rn50_ep400_2x160_4x96,0.0,14.589999999999996,32.77122376653771,6.00850169556288,47.36599999999999
dc2_rn50_ep400_2x224,0.0,15.660000000000004,37.817223766537715,6.00850169556288,53.482000000000006
dc2_rn50_ep800_2x224_6x96,0.0,14.002000000000006,31.382039610896168,6.00850169556288,45.391999999999996
deepcluster_rn50_bs512_ep200_mmselfsup,0.0,17.72200000000001,44.29403961089617,6.00850169556288,62.024
densecl_rn50_200ep_mmselfsup,0.0,17.740000000000002,45.630039610896176,6.00850169556288,63.378
dino_rn50,0.0,14.321999999999996,32.772895066150845,6.00850169556288,47.114
dino_vitb16_extracts,0.0,11.602,23.528895066150838,3.0138033147060197,35.15
dino_vitb16_last,0.0,10.672000000000004,21.859710910509307,3.77640859085192,32.554
dino_vitb8_last,0.0,9.690000000000001,20.025710910509307,1.02052188310964,29.738
dino_vits16,0.0,12.418,26.69489506615084,0.01910493384916,39.132
dino_vits16_extractb,0.0,11.708000000000006,25.496895066150838,7.813917944309121,37.224000000000004
dino_vits16_last,3.6187928865963084,9.95399999999999,13.76569709127382,7.815510022129871,35.15399999999999
dino_vits8_last,,8.85400000000001,11.8743760169397,,29.566
dissl_resnet50_d4096_e100_m2,0.0,16.764000000000003,40.95289506615084,6.00850169556288,57.736
dissl_resnet50_d8192_e100_m2,0.0,16.644000000000005,40.496895066150834,6.00850169556288,57.16
dissl_resnet50_d8192_e400_m6,0.0,14.63199999999999,35.71930298833007,6.00850169556288,50.37199999999999
dissl_resnet50_d8192_e800_m8,0.0,15.163999999999994,35.67689506615084,6.00850169556288,50.85999999999999
dissl_resnet50_dnone_e100_m2,0.0,16.96800000000001,42.316895066150835,6.00850169556288,59.304
dissl_resnet50_dnone_e100_m2_auglarge,0.0,17.448,43.282895066150836,6.00850169556288,60.74999999999999
dissl_resnet50_dnone_e100_m2_augsmall,0.0,17.14,42.60289506615084,6.00850169556288,59.762
dissl_resnet50_dnone_e100_m2_headtlinslin,0.0,16.882000000000005,42.05889506615084,6.00850169556288,58.96
dissl_resnet50_dnone_e100_m2_headtmlpsmlp,0.0,17.448,43.388895066150845,6.00850169556288,60.856
dissl_resnet50_dnone_e400_m2,0.0,15.661999999999999,37.918895066150846,6.00850169556288,53.6
dissl_resnet50_dnone_e400_m6,0.0,15.504000000000012,37.72089506615083,6.00850169556288,53.244
ibot_vitb16,0.0,9.884000000000011,20.24644753307541,3.77640859085192,30.14
ibot_vitl16,0.0,8.548000000000002,18.817671299613128,2.04422792186081,27.38
ibot_vits16,2.711308528760899,9.874000000000013,13.62518144910922,7.815510022129871,34.026
ibot_vits16_extracts,0.0,12.036000000000005,25.8692237665377,0.01910493384916,37.91
infomin_rn50_200ep,0.0,16.195999999999998,40.43403961089618,6.00850169556288,56.638
infomin_rn50_800ep,0.0,14.92799999999999,34.49403961089618,6.00850169556288,49.42999999999999
jigsaw_rn50,0.0,24.006,66.77489506615083,6.00850169556288,90.8
jigsaw_rn50_in22k,0.0,23.657999999999994,63.702895066150845,6.00850169556288,87.38
lossyless_b001,5.1073856490105305,10.536000000000001,19.61086663164095,3.1857477193485098,38.43999999999999
lossyless_b005,5.3175399213513606,10.751999999999988,19.66071235930013,3.1857477193485098,38.91599999999999
lossyless_b01,4.30975466080782,10.92199999999999,21.054497619843666,3.1857477193485098,39.47199999999999
mae_vitb16,0.0,18.223999999999997,44.448447533075424,3.77640859085192,62.681999999999995
mae_vith14,,15.076,34.715263377433885,,49.803999999999995
mae_vitl16,0.0,14.922000000000004,34.65844753307542,2.04422792186081,49.59
mocov1_rn50_ep200,0.0,19.369999999999997,51.132039610896186,6.00850169556288,70.51
mocov2_rn50_ep200,0.0,17.540000000000013,43.52603961089617,6.00850169556288,61.074000000000005
mocov2_rn50_ep800,0.0,15.859999999999992,37.43603961089618,6.00850169556288,53.303999999999995
mocov2_rn50_vissl,0.0,18.054000000000002,45.84203961089618,6.00850169556288,63.904
mocov3_rn50_ep100,0.0,15.687999999999995,38.870895066150844,6.00850169556288,54.577999999999996
mocov3_rn50_ep1000,0.0,14.12199999999999,30.31489506615084,6.00850169556288,44.45599999999999
mocov3_rn50_ep300,0.0,14.40399999999999,32.74089506615084,6.00850169556288,47.16399999999999
mocov3_vitb_ep300,6.147012465969329,10.719999999999992,15.188578943178753,3.77640859085192,35.831999999999994
mocov3_vits_ep300,5.163108372737259,11.423999999999996,16.009381605132873,7.815510022129871,40.412
msn_vitb16_ep600,0.0,10.926000000000005,19.200107019471112,3.77640859085192,30.227999999999998
msn_vitb4_ep300,,9.86399999999999,9.2876247790992,,24.86399999999999
msn_vitl16_ep600,2.5552849023260293,11.622,13.78848717581316,2.04422792186081,30.009999999999998
msn_vitl7_ep200,,9.849999999999996,15.14198818678258,,25.069999999999997
msn_vits16_ep800,0.0,10.61800000000001,21.15246004680709,7.815510022129871,32.506
mugs_vitb16_ep400,2.4900097116747104,8.782,11.983581697473369,3.77640859085192,27.032
mugs_vitl16_ep250,0.0,9.260000000000012,16.747263377433878,2.04422792186081,26.02
mugs_vits16_ep100,5.435353680087889,10.360000000000003,14.611136297782238,7.815510022129871,38.222
mugs_vits16_ep300,3.898998583050739,9.747999999999998,12.755491394819389,7.815510022129871,34.217999999999996
mugs_vits16_ep800,0.0,11.04999999999999,21.57306602346724,7.815510022129871,33.39999999999999
mugs_vits16_ep800_extracts,3.22714174268838,12.09,21.79175332346246,0.01910493384916,37.128
npid_rn50,0.0,21.28200000000001,57.39689506615084,6.00850169556288,78.69800000000001
npidpp_rn50,0.0,20.598,54.10289506615084,6.00850169556288,74.72
odc_rn50_440ep_mmselfsup,0.0,20.052,52.94603961089618,6.00850169556288,73.006
pirl_rn50,0.0,17.948000000000008,46.614895066150844,6.00850169556288,64.58200000000001
pirl_rn50_ep200,0.0,19.532000000000018,49.77289506615084,6.00850169556288,69.32400000000001
pirl_rn50_ep200_headmlp,0.0,17.81600000000001,45.49289506615084,6.00850169556288,63.328
pirl_rn50_headmlp,0.0,16.098000000000006,39.00289506615084,6.00850169556288,55.120000000000005
pirl_rn50w2,0.0,16.65400000000001,41.29403961089618,1.4981452293388,57.95600000000001
pirl_rn50w2_headmlp,0.0,15.216000000000008,36.52603961089618,1.4981452293388,51.75000000000001
relativeloc_rn50_70ep_mmselfsup,0.0,23.929999999999993,66.11203961089618,6.00850169556288,90.05
rotnet_rn50_in1k,0.0,23.313999999999993,63.75330298833007,6.00850169556288,87.088
rotnet_rn50_in22k,0.0,22.333999999999996,60.27089506615084,6.00850169556288,82.624
selav2_rn50_ep400_2x224,0.0,16.026000000000003,39.52203961089618,6.00850169556288,55.556000000000004
simclr_resnet50_d8192_e100_m2,0.0,17.75000000000002,44.59289506615083,6.00850169556288,62.36200000000001
simclr_resnet50_dnone_e100_m2,0.0,17.965999999999987,46.38489506615085,6.00850169556288,64.36999999999999
simclr_resnet50_dnone_e100_m2_data010,0.0,19.040000000000006,49.13489506615084,6.00850169556288,68.194
simclr_resnet50_dnone_e100_m2_data030,0.0,18.43400000000002,47.25689506615083,6.00850169556288,65.71000000000001
simclr_resnet50_dnone_e100_m2_headtlinslin,0.0,18.731999999999992,48.464895066150845,6.00850169556288,67.216
simclr_resnet50_dnone_e100_m2_headtmlpslin,0.0,18.502000000000017,47.50089506615083,6.00850169556288,66.022
simclr_resnet50_dnone_e100_m2_headtmlpsmlp,0.0,17.988,46.32289506615084,6.00850169556288,64.33
simclr_resnet50_dnone_e100_m2_headtnonesnone,9.702122239735079,19.548000000000016,35.11937606470204,6.00850169556288,70.37800000000001
simclr_rn101,0.0,15.409999999999997,35.742895066150844,4.10119246628775,51.172
simclr_rn101_ep100,0.0,17.361999999999995,42.75889506615084,4.10119246628775,60.13999999999999
simclr_rn50,0.0,16.774000000000008,40.47089506615084,6.00850169556288,57.264
simclr_rn50_bs256_ep200_mmselfsup,0.0,19.074000000000005,48.39803961089618,6.00850169556288,67.48
simclr_rn50_bs4096_ep100,0.0,18.025999999999996,45.906895066150845,6.00850169556288,63.952
simclr_rn50_ep200,0.0,17.495999999999995,43.87889506615084,6.00850169556288,61.39399999999999
simclr_rn50_ep400,0.0,16.960000000000008,42.26489506615084,6.00850169556288,59.24400000000001
simclr_rn50_ep800,0.0,16.856,41.03289506615084,6.00850169556288,57.908
simclr_rn50w2,0.0,15.212000000000003,33.34889506615084,1.4981452293388,48.58
simclr_rn50w2_ep100,0.0,16.238000000000014,40.728895066150834,1.4981452293388,56.986000000000004
simclr_rn50w4,,15.856000000000002,36.33889506615085,,52.214000000000006
simsiam_rn50_bs256_ep100,0.0,17.084000000000003,42.676039610896176,6.00850169556288,59.768
simsiam_rn50_bs256_ep200_mmselfsup,0.0,16.350000000000016,40.09603961089617,6.00850169556288,56.45400000000001
simsiam_rn50_bs512_ep100,0.0,16.949999999999996,42.60003961089618,6.00850169556288,59.558
speccl_bs384_ep100,0.0,18.234000000000016,47.57803961089617,6.00850169556288,65.82000000000001
swav_rn50,0.0,14.440000000000005,33.16530298833007,6.00850169556288,47.626000000000005
swav_rn50_ep100,0.0,15.396,37.41489506615084,6.00850169556288,52.83
swav_rn50_ep200,0.0,15.215999999999994,35.126895066150844,6.00850169556288,50.361999999999995
swav_rn50_ep200_bs256,0.0,15.530000000000008,35.89889506615084,6.00850169556288,51.44800000000001
swav_rn50_ep400,0.0,15.054000000000002,33.92089506615084,6.00850169556288,48.994
swav_rn50_ep400_2x224,0.0,15.618000000000002,37.76889506615084,6.00850169556288,53.406
swav_rn50_ep400_bs256,0.0,14.811999999999998,34.15289506615085,6.00850169556288,48.984
vicreg_rn50,0.0,14.390000000000008,33.07003961089617,6.00850169556288,47.467999999999996
vicreg_rn50w2,0.0,12.891999999999996,27.333263377433887,1.4981452293388,40.23799999999999
